001|H8W9oMNSuwo|Free CCNA | Network Devices | Day 1 | CCNA 200-301 Complete Course
002|6Atw8oMtVTA|Free CCNA | Anki Flashcards | Day 1 Extra | CCNA 200-301 Complete Course
003|a1Im6GYaSno|Free CCNA | Packet Tracer Introduction | Day 1 Lab | CCNA 200-301 Complete Course
004|ieTH5lVhNaY|Free CCNA | Interfaces and Cables | Day 2 | CCNA 200-301 Complete Course
005|K6Qt23sY68Y|Free CCNA | Connecting Devices | Day 2 Lab | CCNA 200-301 Complete Course
006|yM-XNq9ADlI|How the TCP/IP Model Actually Works | CCNA Day 3
007|7nmYoL0t2tU|Free CCNA | OSI Model | Day 3 Lab | CCNA 200-301 Complete Course
008|IYbtai7Nu2g|Free CCNA | Intro to the CLI | Day 4 | CCNA 200-301 Complete Course
009|SDocmq1c05s|Free CCNA | Basic Device Security | Day 4 Lab | CCNA 200-301 Complete Course
010|u2n762WG0Vo|Free CCNA | Ethernet LAN Switching (Part 1) | Day 5 | CCNA 200-301 Complete Course
011|5q1pqdmdPjo|Free CCNA | Ethernet LAN Switching (Part 2) | Day 6 | CCNA 200-301 Complete Course
012|Ig0dSaOQDI8|Free CCNA | Analyzing Ethernet Switching | Day 6 Lab | CCNA 200-301 Complete Course
013|3ROdsfEUuhs|Free CCNA | IPv4 Addressing (Part 1) | Day 7 | CCNA 200-301 Complete Course
014|FiAatRd84XI|Free CCNA | IPv4 Addressing (Part 2) | Day 8 | CCNA 200-301 Complete Course
015|e1jbvyMeS5I|Free CCNA | Configuring IP Addresses | Day 8 Lab | CCNA 200-301 Complete Course
016|cCqluocfQe0|Free CCNA | Switch Interfaces | Day 9 | CCNA 200-301 Complete Course
017|rzDb5DoBKRk|Free CCNA | Configuring Interfaces | Day 9 Lab | CCNA 200-301 Complete Course
018|aQB22y4liXA|Free CCNA | IPv4 Header | Day 10 | CCNA 200-301 Complete Course
019|aHwAm8GYbn8|Free CCNA | Routing Fundamentals | Day 11 (part 1) | CCNA 200-301 Complete Course
