# CCNA Subnetting Two-Constraint — Anki Cloze Deck
# Import: Anki → File → Import → delimiter ";" → note type Cloze → field 1=Text, field 2=Extra, field 3=Tags
# Format: "<Text>";"<Extra>";"<Tags>"
"<b>Parent 172.16.0.0/16 — need 40 subnets and 830 hosts each.</b><br><br>Borrow {{c1::6}} bits for subnets (2^6 = 64 ≥ 40).<br>Keep {{c2::10}} host bits (2^10 - 2 = 1022 ≥ 830).<br>Bit budget: 16 + 6 + 10 = {{c3::32}} (≤ 32).<br>New prefix: {{c4::/22}} → mask {{c5::255.255.252.0}}.<br>Result: {{c6::64 subnets × 1022 usable hosts}}.";"";"subnetting two-constraint p16"
"<b>Parent 10.0.0.0/8 — need 1000 subnets and 50 hosts each.</b><br><br>Borrow {{c1::10}} bits for subnets (2^10 = 1024 ≥ 1000).<br>Keep {{c2::6}} host bits (2^6 - 2 = 62 ≥ 50).<br>Bit budget: 8 + 10 + 6 = {{c3::24}} (≤ 32).<br>New prefix: {{c4::/18}} → mask {{c5::255.255.192.0}}.<br>Result: {{c6::1024 subnets × 62 usable hosts}}.";"";"subnetting two-constraint p8"
"<b>Parent 192.168.0.0/16 — need 6 subnets and 4000 hosts each.</b><br><br>Borrow {{c1::3}} bits for subnets (2^3 = 8 ≥ 6).<br>Keep {{c2::12}} host bits (2^12 - 2 = 4094 ≥ 4000).<br>Bit budget: 16 + 3 + 12 = {{c3::31}} (≤ 32).<br>New prefix: {{c4::/19}} → mask {{c5::255.255.224.0}}.<br>Result: {{c6::8 subnets × 4094 usable hosts}}.";"";"subnetting two-constraint p16"
"<b>Parent 172.16.0.0/16 — need 100 subnets and 500 hosts each.</b><br><br>Borrow {{c1::7}} bits for subnets (2^7 = 128 ≥ 100).<br>Keep {{c2::9}} host bits (2^9 - 2 = 510 ≥ 500).<br>Bit budget: 16 + 7 + 9 = {{c3::32}} (≤ 32).<br>New prefix: {{c4::/23}} → mask {{c5::255.255.254.0}}.<br>Result: {{c6::128 subnets × 510 usable hosts}}.";"";"subnetting two-constraint p16"
"<b>Parent 10.0.0.0/8 — need 50 subnets and 1000 hosts each.</b><br><br>Borrow {{c1::6}} bits for subnets (2^6 = 64 ≥ 50).<br>Keep {{c2::10}} host bits (2^10 - 2 = 1022 ≥ 1000).<br>Bit budget: 8 + 6 + 10 = {{c3::24}} (≤ 32).<br>New prefix: {{c4::/14}} → mask {{c5::255.252.0.0}}.<br>Result: {{c6::64 subnets × 1022 usable hosts}}.";"";"subnetting two-constraint p8"
"<b>Parent 192.168.1.0/24 — need 4 subnets and 50 hosts each.</b><br><br>Borrow {{c1::2}} bits for subnets (2^2 = 4 ≥ 4).<br>Keep {{c2::6}} host bits (2^6 - 2 = 62 ≥ 50).<br>Bit budget: 24 + 2 + 6 = {{c3::32}} (≤ 32).<br>New prefix: {{c4::/26}} → mask {{c5::255.255.255.192}}.<br>Result: {{c6::4 subnets × 62 usable hosts}}.";"";"subnetting two-constraint p24"
"<b>Parent 172.20.0.0/16 — need 25 subnets and 1500 hosts each.</b><br><br>Borrow {{c1::5}} bits for subnets (2^5 = 32 ≥ 25).<br>Keep {{c2::11}} host bits (2^11 - 2 = 2046 ≥ 1500).<br>Bit budget: 16 + 5 + 11 = {{c3::32}} (≤ 32).<br>New prefix: {{c4::/21}} → mask {{c5::255.255.248.0}}.<br>Result: {{c6::32 subnets × 2046 usable hosts}}.";"";"subnetting two-constraint p16"
"<b>Parent 10.10.0.0/16 — need 200 subnets and 100 hosts each.</b><br><br>Borrow {{c1::8}} bits for subnets (2^8 = 256 ≥ 200).<br>Keep {{c2::7}} host bits (2^7 - 2 = 126 ≥ 100).<br>Bit budget: 16 + 8 + 7 = {{c3::31}} (≤ 32).<br>New prefix: {{c4::/24}} → mask {{c5::255.255.255.0}}.<br>Result: {{c6::256 subnets × 126 usable hosts}}.";"";"subnetting two-constraint p16"
"<b>Parent 192.168.0.0/22 — need 10 subnets and 50 hosts each.</b><br><br>Borrow {{c1::4}} bits for subnets (2^4 = 16 ≥ 10).<br>Keep {{c2::6}} host bits (2^6 - 2 = 62 ≥ 50).<br>Bit budget: 22 + 4 + 6 = {{c3::32}} (≤ 32).<br>New prefix: {{c4::/26}} → mask {{c5::255.255.255.192}}.<br>Result: {{c6::16 subnets × 62 usable hosts}}.";"";"subnetting two-constraint p22"
"<b>Parent 172.16.0.0/16 — need 14 subnets and 2000 hosts each.</b><br><br>Borrow {{c1::4}} bits for subnets (2^4 = 16 ≥ 14).<br>Keep {{c2::11}} host bits (2^11 - 2 = 2046 ≥ 2000).<br>Bit budget: 16 + 4 + 11 = {{c3::31}} (≤ 32).<br>New prefix: {{c4::/20}} → mask {{c5::255.255.240.0}}.<br>Result: {{c6::16 subnets × 2046 usable hosts}}.";"";"subnetting two-constraint p16"
"<b>Parent 10.0.0.0/8 — need 500 subnets and 250 hosts each.</b><br><br>Borrow {{c1::9}} bits for subnets (2^9 = 512 ≥ 500).<br>Keep {{c2::8}} host bits (2^8 - 2 = 254 ≥ 250).<br>Bit budget: 8 + 9 + 8 = {{c3::25}} (≤ 32).<br>New prefix: {{c4::/17}} → mask {{c5::255.255.128.0}}.<br>Result: {{c6::512 subnets × 254 usable hosts}}.";"";"subnetting two-constraint p8"
"<b>Parent 192.168.0.0/16 — need 60 subnets and 200 hosts each.</b><br><br>Borrow {{c1::6}} bits for subnets (2^6 = 64 ≥ 60).<br>Keep {{c2::8}} host bits (2^8 - 2 = 254 ≥ 200).<br>Bit budget: 16 + 6 + 8 = {{c3::30}} (≤ 32).<br>New prefix: {{c4::/22}} → mask {{c5::255.255.252.0}}.<br>Result: {{c6::64 subnets × 254 usable hosts}}.";"";"subnetting two-constraint p16"
"<b>Parent 172.16.0.0/12 — need 100 subnets and 1000 hosts each.</b><br><br>Borrow {{c1::7}} bits for subnets (2^7 = 128 ≥ 100).<br>Keep {{c2::10}} host bits (2^10 - 2 = 1022 ≥ 1000).<br>Bit budget: 12 + 7 + 10 = {{c3::29}} (≤ 32).<br>New prefix: {{c4::/19}} → mask {{c5::255.255.224.0}}.<br>Result: {{c6::128 subnets × 1022 usable hosts}}.";"";"subnetting two-constraint p12"
"<b>Parent 10.0.0.0/8 — need 30 subnets and 8000 hosts each.</b><br><br>Borrow {{c1::5}} bits for subnets (2^5 = 32 ≥ 30).<br>Keep {{c2::13}} host bits (2^13 - 2 = 8190 ≥ 8000).<br>Bit budget: 8 + 5 + 13 = {{c3::26}} (≤ 32).<br>New prefix: {{c4::/13}} → mask {{c5::255.248.0.0}}.<br>Result: {{c6::32 subnets × 8190 usable hosts}}.";"";"subnetting two-constraint p8"
